W2,W1,L1,L2,StudyDay,Note,IPA,Imagery
skala,scale,"First, I just need to practice the pentatonic blues scale.",Først skal jeg lige øve mig på den pentatoniske bluesskala.,2,"Noun, musical term. Used with 'øve sig på' (to practice).",['ˈsɡ̊æːlæ'],
frikvarter,break/recess,"Now that I'm retired, every day feels like a long recess.","Nu hvor jeg er pensioneret, føles hver dag som et langt frikvarter.",2,Noun: 'fri' (free) + 'kvarter' (quarter-hour). Idiom for recess/break time.,['ˈfʁiːɡʋaʁˌtæːɐ̯'],
hverdagsrutine,daily routine,My daily routine now includes a long walk after breakfast.,Min hverdagsrutine nu inkluderer en lang gåtur efter morgenmaden.,2,Compound noun: 'hverdag' (weekday/daily life) + 'rutine' (routine).,['ˈʋæɐ̯ˌdaːɡsʁuˈtiːnə'],
eftertænksom,thoughtful/reflective,The retired life gives me more time to be thoughtful.,Pensionisttilværelsen giver mig mere tid til at være eftertænksom.,2,Adjective. Often describes a contemplative state of mind.,['ˈɛfd̥ɐˌtɛŋɡ̊sɔm'],I'm walking behind a tank just thinking some.
tilværelse,way of life,My life as a retiree is much more relaxed than I thought.,"Min tilværelse som pensionist er meget mere afslappet, end jeg troede.",2,"Noun, abstract. Often used for 'way of life' or 'existence'.",['ˈtʰilˌvæːʁəlsə'],Go into a room that is my way of life
overskud,energy/surplus,I have plenty of energy to play guitar now that I don't work.,"Jeg har masser af overskud til at spille guitar nu, hvor jeg ikke arbejder.",2,Noun. Used idiomatically for having energy/reserve. Plural is same as singular.,['ˈoːɐ̯ˌsɡ̊uð'],Jumpng about over a skud missle 
fedt,fat,I primarily eat fat and protein on my carnivore diet.,Jeg spiser primært fedt og protein på min carnivore kost.,2,"Noun, can be a non-countable mass noun.",['fɛd̥'],A fat person doing lots of jumping jacks to be fit
protein,protein,"Protein is the key to maintaining muscle mass, even at my age.","Protein er nøglen til at bevare muskelmassen, selv i min alder.",2,Noun. Often used in diet/exercise context.,['pʁoˈtʰeːˀin'], 
mæthed,satiety/fullness,Meat provides a fantastic feeling of fullness that lasts all day.,"Kød giver en fantastisk mæthed, der holder hele dagen.",2,Abstract noun related to the feeling of being full.,['ˈmæːˀðheð'],Sitting on a hill of meat feeling full and satisfied.
vægttab,weight loss,I have experienced healthy weight loss since starting the diet.,"Jeg har oplevet et sundt vægttab, siden jeg startede på kosten.",2,Compound noun: 'vægt' (weight) + 'tab' (loss).,['ˈʋɛɡd̥ˌtʰɑːw'],
dybfrost,freezer/deep freeze,"I always have a lot of meat in the deep freeze, so I'm ready.","Jeg har altid en masse kød i dybfrost, så jeg er klar.",2,Noun. Can refer to the appliance or the state of being frozen.,['ˈtyːpˌfʁɔsd̥'],Inspector Frost in a tub.
gentagelse,repetition,Mastering a lick requires thousands of repetitions.,At mestre et licks kræver tusindvis af gentagelser.,2,Noun: 'gentage' (to repeat) + '-else'.,['ˈɡ̊ɛnˌtʰæːɪlsə'],Gen Z folks with tails
udholdenhed,endurance/stamina,My endurance has improved since I started lifting weights.,"Min udholdenhed er blevet bedre, efter jeg startede med at løfte vægte.",2,"Abstract noun, key term in exercise.",['ˈuðˌhʌlənˌheð'],Going out of Holland into a hill
opvarmning,warm-up,I always start with a thorough warm-up before I play.,"Jeg starter altid med en grundig opvarmning, før jeg spiller.",2,"Noun, used for physical and musical warm-ups.",['ˈʌwˌʋɑːmnɪŋ'],A sign pointing up to a farm saying 9g
styrketræning,strength training,I go strength training twice a week to stay in shape.,Jeg går til styrketræning to gange om ugen for at holde mig i form.,2,Compound noun: 'styrke' (strength) + 'træning' (training).,['ˈsd̥yɐ̯gəˌtʰʁæːnɪŋ'],A stork lifting weights on top of a train.
strække ud,to stretch,I have started to stretch for ten minutes after every workout.,Jeg er begyndt at strække ud i ti minutter efter hver træning.,2,Phrasal verb. 'strække' (stretch) + 'ud' (out).,['ˈsd̥ʁɛɡ̊ə ˈuð'],S' Trek bridge stretched out of view
forretning,business,"Even though I have retired, I still keep an eye on business news.","Selvom jeg er gået på pension, holder jeg stadig øje med forretningsnyheder.",2,"Noun, refers to commerce or a shop.",['fʌˈʁɛdnɪŋ'],
forsikring,insurance,We finally got the travel insurance sorted out for our trip.,Vi fik endelig styr på rejseforsikringen til vores tur.,2,"Noun, important daily life/retired life concept.",['fʌˈseːˀkʁɪŋ'],
medicin,medication,I am so happy that I don't need to take as much medication anymore.,"Jeg er så glad for, at jeg ikke behøver at tage så meget medicin mere.",2,"Noun, refers to drugs or medicine.",['meðiˈsiːˀn'],
samfund,society/community,I read the newspaper to understand what is happening in society.,"Jeg læser avisen for at forstå, hvad der sker i samfundet.",2,"Noun, refers to the larger community or society. Plural is 'samfund'.",['ˈsamˌfɔn'],
tilbud,offer/sale,I always look for good offers on meat at the supermarket.,Jeg kigger altid efter gode tilbud på kød i supermarkedet.,2,"Noun, refers to a reduced price or a proposal. Plural is same as singular.",['ˈtʰilˌbuð'],
håndværktøj,hand tools,I often use my hand tools to adjust my guitar.,Jeg bruger ofte mit håndværktøj til at justere min guitar.,2,Compound noun: 'hånd' (hand) + 'værktøj' (tool).,['ˈhʌnˌʋæɐ̯ɡ̊ˌtʰʌj'],
afslapning,relaxation,Improvising on the guitar is the best form of relaxation for me.,At improvisere på guitaren er den bedste form for afslapning for mig.,2,"Noun, abstract.",['ˈaːu̯sˌlapnɪŋ'],
spontant,spontaneously,The best thing about jamming is that things happen completely spontaneously.,"Det bedste ved jamming er, at tingene sker helt spontant.",2,Adverb. Relates to improvisation.,['sb̥ɔnˈtʰant'],
nuance,nuance/shading,A good blues improvisation has many dynamic nuances.,En god bluesimprovisation har mange dynamiske nuancer.,2,"Noun, often used in music/art/discourse. Plural is 'nuancer'.",['nʊˈaŋsə'],
variere,to vary/change,I try to vary my diet to get enough vitamins.,Jeg prøver at variere min kost for at få nok vitaminer.,2,Verb. Often used reflexively ('variere sig') or with an object.,['ʋaˈʁiːˀəʁə'],
forhindre,to prevent/hinder,Regular exercise can prevent many health problems.,Regelmæssig motion kan forhindre mange helbredsproblemer.,2,"Verb, often used in health/safety context.",['fʌˈhenˀdʁɐ'],
køreplan,schedule/itinerary,My daily schedule is very flexible now; I'm my own boss.,"Min daglige køreplan er meget fleksibel nu, jeg er min egen chef.",2,Compound noun: 'køre' (drive) + 'plan' (plan). Idiomatically means schedule or itinerary.,['ˈkʰøːɐ̯ˌplæːn'],
gennemgang,rehearsal/review,We had a thorough rehearsal before the jam session last night.,Vi havde en grundig gennemgang før jamsessionen i går aftes.,3,Compound noun. 'Gennem' (through) + 'gang' (walk/time). Used for review or rehearsal.,['ˈɡenəmˌɡɑŋ'],
hovedstemme,melody line,The main melody line of the blues song is surprisingly simple.,Hovedstemmen i bluessangen er overraskende simpel.,3,Compound noun: 'hoved' (head/main) + 'stemme' (voice/part). Refers to the main voice or melody.,['ˈhoːðˌsdemə'],
forvrænger,distortion pedal,I need a new distortion pedal to get that classic blues rock sound.,Jeg mangler en ny forvrænger for at få den klassiske blues rock lyd.,3,Noun derived from the verb 'forvrænge' (to distort). Refers to a guitar pedal.,['fʌˈvʁæŋɐ'],
høresans,sense of hearing,My sense of hearing is crucial for noticing the subtle nuances in a solo.,Min høresans er afgørende for at bemærke de subtile nuancer i en solo.,3,Compound noun: 'høre' (hear) + 'sans' (sense).,['ˈhøːɐˌsæns'],
skift,change/shift,The transition from the A-section to the B-section requires a quick chord shift.,Skiftet fra A-stykket til B-stykket kræver et hurtigt akkordskift.,3,Noun. 'Skifte' is the verb 'to change/shift'.,['ˈsɡeːd'],
blues-skala,blues scale,I practice the blues scale every day to keep my fingers limber.,Jeg øver mig på blues-skalaen hver dag for at holde mine fingre smidige.,3,"Compound noun, a specific musical term.",['ˈbluːsˌsɡaːlæ],
lydstyrke,volume,Can you turn the volume up a little on the amplifier?,Kan du skrue lidt op for lydstyrken på forstærkeren?,3,Compound noun: 'lyd' (sound) + 'styrke' (strength). The common term for volume.,['ˈlydˌsdœɐ̯ɡə'],
strømforsyning,power supply,The power supply for my pedalboard is acting up again.,Strømforsyningen til mit pedalbræt driller igen.,3,Compound noun: 'strøm' (current/power) + 'forsyning' (supply).,['ˈsdʁɶmˌfʌˈsyːˀnɪŋ'],
akkordprogression,chord progression,The 12-bar blues is the most common chord progression I use.,"Tolv-takters-bluesskemaet er den mest almindelige akkordprogression, jeg bruger.",3,"Compound noun, musical term.",['aˈkʰoɐ̯dˌpʁoɡʁɛˈɕoˀn'],
anslag,attack/touch,His attack on the strings gives his playing a unique groove.,Hans anslag på strengene giver hans spil en unik rytme.,3,Noun. Used in music for how a note is struck or played.,['ˈanslɑw'],
forbrug,consumption,I try to keep my meat consumption balanced with my exercise routine.,Jeg prøver at holde mit kødforbrug i balance med min træningsrutine.,3,Noun. 'Forbruge' is the verb 'to consume'.,['fʌˈbʁuːˀ'],
essentiel,essential,Getting enough protein is essential for maintaining muscle mass in retirement.,At få nok protein er essentielt for at opretholde muskelmasse i pensionisttilværelsen.,3,Adjective. Common B2-level synonym for 'vigtigt' (important).,['ɛsænˈɕɛl'],
kropsvægt,body weight,I use my own body weight for most of my exercise now.,Jeg bruger min egen kropsvægt til det meste af min træning nu.,3,Compound noun: 'krop' (body) + 'vægt' (weight).,['ˈkʁɔpsˌʋæɡ̊t'],
leddegigt,arthritis,I do light stretching every morning to prevent arthritis.,Jeg laver let udstrækning hver morgen for at forebygge leddegigt.,3,Compound noun: 'led' (joint) + 'gigt' (rheumatism/gout).,['ˈleðˌɡɪɡd'],
udholdenhed,endurance,Long walks are great for my overall endurance.,Lange gåture er gode for min generelle udholdenhed.,3,Noun. 'Holde ud' is the verb 'to endure'.,['ˈuðˌhɔln̩heð'],
kulhydrat,carbohydrate,"On the carnivore diet, I avoid all carbohydrates.",På kødæderdiæten undgår jeg alle kulhydrater.,3,Compound noun: 'kul' (coal/carbon) + 'hydrat'.,['ˈkʰulˌhyˌdʁaːd'],
dybdegående,in-depth,We had an in-depth conversation about investment strategies yesterday.,Vi havde en dybdegående samtale om investeringsstrategier i går.,3,Compound adjective. 'Dyb' (deep) + 'gående' (going). Used figuratively for thoroughness.,['ˈdyːbðəˌɡɔːˀnə'],
meningsfuld,meaningful,My retirement is meaningful because I spend time on my passions.,"Min pensionisttilværelse er meningsfuld, fordi jeg bruger tid på mine passioner.",3,Compound adjective: 'mening' (meaning) + 'fuld' (full).,['ˈmeːnɪŋsˌful'],
omsorg,care/concern,It's important to show care for the local community.,Det er vigtigt at vise omsorg for lokalsamfundet.,3,Noun. Often used for emotional or moral care/concern.,['ˈʌmˌsɔɐ̯'],
beslutning,decision,Making a long-term financial decision can be difficult.,At tage en langsigtet økonomisk beslutning kan være svært.,3,Noun. The verb is 'beslutte' (to decide).,['bəˈsludnɪŋ'],
ansvar,responsibility,I take full responsibility for my health and diet choices.,Jeg tager det fulde ansvar for mine helbreds- og kostvalg.,3,Noun. Often used with 'tage' (to take).,['ˈansʋɑɐ̯'],
vedvarende,sustainable/lasting,I'm looking for a sustainable way to manage my time in retirement.,Jeg leder efter en vedvarende måde at styre min tid på i min pensionisttilværelse.,3,Adjective derived from 'vedvare' (to last/persist).,['ˈveðˌʋaːˀnə'],
sammenhæng,coherence/connection,"The songs lack coherence, but the jamming is still fun.","Sangene mangler sammenhæng, men jammen er stadig sjov.",3,Noun. 'Sammen' (together) + 'hæng' (hang/context). Used for context or connection.,['ˈsæmənˌhæŋˀ'],
overflod,abundance/excess,An abundance of animal fats is not a problem on this diet.,En overflod af animalsk fedt er ikke et problem på denne diæt.,3,Noun. 'Over' (over) + 'flod' (flood/flow).,['ˈoːɐ̯ˌfloð'],
tilpasning,adjustment/adaptation,The adaptation to a new routine took some time.,Tilpasningen til en ny rutine tog noget tid.,3,Noun. 'Tilpasse' is the verb 'to adapt'.,['ˈtˢelˌpʰæsnɪŋ'],
formål,purpose,Finding a new purpose is key to a happy retired life.,At finde et nyt formål er nøglen til et lykkeligt pensionistliv.,3,Compound noun: 'for' (for) + 'mål' (goal/measure).,['ˈfɔɐ̯ˌmɔˀl'],
spillemåde,playing style,His playing style is heavily influenced by Texas blues.,Hans spillemåde er stærkt påvirket af Texas blues.,3,Compound noun: 'spille' (play) + 'måde' (manner/way).,['ˈsbeləˌmɔːˀðə'],
tilrådelig,advisable,Regular check-ups are advisable when you make big diet changes.,"Regelmæssige tjek er tilrådelige, når man foretager store kostændringer.",3,Adjective. Used in a formal or advisory context.,['tˢelˈʁɔːðəli'],
afvikling,execution/completion,The execution of the complex riff was flawless.,Afviklingen af det komplekse riff var fejlfri.,3,Noun. 'Afvikle' is the verb 'to execute/wind down'. Used for tasks or events.,['ˈau̯ˌvɪɡlɪŋ'],
nærværende,present/attentive,I try to be fully present and attentive when I'm improvising.,"Jeg forsøger at være fuldt nærværende, når jeg improviserer.",3,Adjective. Used for being mentally present or the current state.,['ˈnæɐ̯ˌvæɐ̯nə'],
undgå,to avoid,I try to avoid refined sugars completely on my carnivore diet.,Jeg forsøger at undgå raffineret sukker fuldstændigt på min kødæderdiæt.,4,Common verb. Often used in health and safety contexts.,['ˈɔnˌɡɔˀ'],
vedrørende,concerning/regarding,I have a few questions regarding my tax situation in retirement.,Jeg har et par spørgsmål vedrørende min skattesituation som pensionist.,4,"Preposition/Participle. Used to introduce a topic, more formal than 'om'.",['ˈveðˌʁøːnənə'],
forudsætning,prerequisite/assumption,The prerequisite for a good jam is listening to each other.,Forudsætningen for en god jam er at lytte til hinanden.,4,Noun. 'Forud' (before/in advance) + 'sætning' (sentence/setting).,['fʌˈuðˌsædnɪŋ'],
belastning,strain/load,I have to be careful not to put too much strain on my lower back during deadlifts.,Jeg skal passe på ikke at lægge for stor belastning på min lænd under dødløft.,4,Noun. Can refer to physical or mental stress/load.,['bəˈlasnɪŋ'],
overfladisk,superficial,It was a very superficial conversation about our retirement plans.,Det var en meget overfladisk samtale om vores pensionsplaner.,4,Adjective. Antonym of 'dybdegående'.,['ˈoːɐ̯ˌflæðisɡ̊'],
fællesskab,community/fellowship,The local blues club offers a great sense of community.,Den lokale bluesklub tilbyder et fantastisk fællesskab.,4,Compound noun: 'fælles' (common) + 'skab' (suffix for state/condition).,['ˈfɛləsˌɡæˀb'],
tilsidesætte,to disregard/set aside,Sometimes you have to set aside theory and just play from the heart.,Nogle gange skal man tilsidesætte teorien og bare spille fra hjertet.,4,Verb (separable prefix). Used for neglecting or prioritizing away.,['tˢelˈsiːðəˌsɛdə'],
tilgængelig,accessible,"Public transport is very accessible in my area, which is great in retirement.","Offentlig transport er meget tilgængelig i mit område, hvilket er fantastisk i pensionisttilværelsen.",4,Adjective. Used for ease of access (physical or abstract).,['tˢelˈɡæŋəli'],
råvare,raw ingredient/commodity,I focus on high-quality raw ingredients for my carnivore diet.,Jeg fokuserer på råvarer af høj kvalitet til min kødæderdiæt.,4,Compound noun: 'rå' (raw) + 'vare' (product/item).,['ˈʁɔːˌʋæːə'],
vedligeholdelse,maintenance,Guitar maintenance is a constant part of my daily routine.,Vedligeholdelse af guitaren er en konstant del af min daglige rutine.,4,Noun. 'Vedligeholde' is the verb 'to maintain'.,['ˈveðliˌhɔlðəlsə'],
tilbagegang,decline/regression,I’m determined to avoid any physical decline in my later years.,Jeg er fast besluttet på at undgå fysisk tilbagegang i mine senere år.,4,Compound noun: 'tilbage' (back) + 'gang' (going). Used for recession or physical decline.,['tˢelˈbæːəˌɡɑŋˀ'],
overensstemmelse,accordance/conformity,The riff must be in accordance with the 12-bar structure.,Riffet skal være i overensstemmelse med 12-takters-strukturen.,4,Noun. Often used with 'i...med' (in accordance with).,['ˈoːɐ̯ˀənˌsdɛmləsə'],
fordeling,distribution/allocation,The fair allocation of household chores is important for domestic peace.,Den retfærdige fordeling af huslige pligter er vigtig for husfreden.,4,Noun. 'Fordele' is the verb 'to distribute'.,['fʌˈdeːlɪŋ'],
nøglehul,keyhole,I’m always looking for a keyhole to unlock my next solo idea.,Jeg leder altid efter et nøglehul til at låse min næste solo-idé op.,4,Compound noun: 'nøgle' (key) + 'hul' (hole). Used figuratively for a small opportunity/opening.,['ˈnœːləˌhul'],
selvstændig,independent,"As a retiree, I enjoy my independent lifestyle and freedom.",Som pensionist nyder jeg min selvstændige livsstil og frihed.,4,Compound adjective: 'selv' (self) + 'stændig' (standing).,['ˈsɛlˌsdɛndi'],
begrænsning,limitation/restriction,"I see the dietary restriction as a challenge, not a problem.","Jeg ser kostbegrænsningen som en udfordring, ikke et problem.",4,Noun. 'Begrænse' is the verb 'to limit'.,['bəˈɡʁænsnɪŋ'],
forhandle,to negotiate,My wife and I had to negotiate a new weekly routine for our retirement.,Min kone og jeg var nødt til at forhandle en ny ugentlig rutine for vores pensionisttilværelse.,4,"Verb. Used in business, politics, and relationships.",['fʌˈhanlə'],
hensigtsmæssig,appropriate/suitable,I need to find an appropriate exercise regime that protects my joints.,"Jeg skal finde et hensigtsmæssigt træningsregime, der beskytter mine led.",4,Adjective. Used for something being fit for purpose.,['ˈhɛnsɪgdsˌmɛsi'],
kendetegn,characteristic/trademark,The slow bend is a defining characteristic of classic Chicago blues.,Det langsomme bend er et kendetegn ved klassisk Chicago blues.,4,Compound noun: 'kende' (know) + 'tegn' (sign).,['ˈkɛnəˌtˢæɪ̯n'],
udførelse,performance/execution,"The performance of the piece was technically perfect, but lacked soul.","Udførelsen af stykket var teknisk perfekt, men manglede sjæl.",4,Noun. 'Udføre' is the verb 'to execute/perform'.,['ˈuðˌføːʁəlsə'],
forankring,anchoring/firm footing,The rhythm section provides a solid anchoring for my solos.,Rytmegruppen leverer en solid forankring for mine soloer.,5,Noun. 'Forankre' is the verb 'to anchor'. Used figuratively for stability.,['fʌˈʁɑŋɡʁɪŋ'],
indsats,effort/contribution,I put a lot of effort into preparing my weekly carnivore meals.,Jeg lægger en stor indsats i at forberede mine ugentlige kødæder-måltider.,5,Noun. 'Ind' (in) + 'sats' (setting). Used for effort or stake.,['ˈensad̥s'],
afspejle,to reflect,My improvisation should reflect my mood on a given day.,Min improvisation skal afspejle mit humør på en given dag.,5,Verb. Often used reflexively ('afspejle sig').,['ˈaʊ̯ˌsb̥aɪ̯lə'],
omfang,extent/scope,The scope of my daily exercise depends on my energy level.,Omfanget af min daglige motion afhænger af mit energiniveau.,5,Compound noun: 'om' (around) + 'fang' (catch/extent).,['ˈɔmˌfɑŋˀ'],
velfærd,welfare/well-being,Focusing on health has improved my general well-being in retirement.,Fokus på sundhed har forbedret min generelle velfærd i pensionisttilværelsen.,5,Compound noun: 'vel' (well) + 'færd' (fare/journey).,['ˈvɛlˌfɛɐ̯ˀ'],
gennemføre,to implement/carry out,It is important to implement good habits as a foundation for retired life.,Det er vigtigt at gennemføre gode vaner som fundament for pensionisttilværelsen.,5,Verb (separable prefix). Used for carrying out plans or ideas.,['ˈɡenəmˌføːɐ̯'],
udtryksfuld,expressive,The blues is the most expressive genre for me to play.,Blusen er den mest udtryksfulde genre for mig at spille.,5,Compound adjective: 'udtryk' (expression) + 'fuld' (full).,['ˈuðˌtʁyɡsˌful'],
tilværelsen,existence/life,I enjoy the simple existence of retired life.,Jeg nyder den simple tilværelse som pensionist.,5,"Noun, definite form. A common term for one's current life situation.",['tˢelˈvæːʁəlsən'],
bestanddel,component/ingredient,Fats are an important component of the carnivore diet.,Fedtstoffer er en vigtig bestanddel af kødæderdiæten.,5,Compound noun: 'bestand' (stock/state) + 'del' (part).,['ˈbɛsdanˌdɛl'],
kredsløb,circuit/circulation,Good blood circulation is vital for recovery after a hard workout.,Godt blodomløb er essentielt for restitution efter en hård træning.,5,Compound noun: 'kreds' (circle) + 'løb' (run/course). Used for electric circuits or the body's circulation.,['ˈkʁæːsˌløːb'],
forpligtelse,commitment/obligation,"I have no strict work commitments in retirement, only those I choose.","Jeg har ingen strenge arbejdsforpligtelser i min pensionisttilværelse, kun dem jeg selv vælger.",5,Noun. 'Forpligte' is the verb 'to obligate'.,['fʌˈb̥leɡdləsə'],
efterklang,reverberation/after-sound,I love the warm reverberation you get from an old tube amp.,"Jeg elsker den varme efterklang, man får fra en gammel rørforstærker.",5,Compound noun: 'efter' (after) + 'klang' (sound). Musical/acoustic term.,['ˈɛfdɐˌklɑŋˀ'],
øjenkontakt,eye contact,Making eye contact with the audience helps me feel the groove.,Øjenkontakt med publikum hjælper mig med at mærke rytmen.,5,Compound noun: 'øje' (eye) + 'kontakt' (contact).,['ˈʌɪ̯ənˌkʰɔnˀtʰakt'],
udstråling,charisma/aura,His stage aura makes his simple blues playing captivating.,Hans sceneudstråling gør hans simple blues-spil fængslende.,5,Noun. 'Udstråle' is the verb 'to radiate'. Used for a person's presence or aura.,['ˈuðˌsdʁɔːlnɪŋ'],
målsætning,goal/objective,My health goal is to be stronger now than I was 20 years ago.,"Min sundhedsmålsætning er at være stærkere nu, end jeg var for tyve år siden.",5,Compound noun: 'mål' (goal) + 'sætning' (setting/sentence).,['ˈmɔˀlsˌsædnɪŋ'],
forhandle,to negotiate,We had to negotiate with the butcher for the best cuts of meat.,Vi måtte forhandle med slagteren om de bedste udskæringer af kød.,5,"Verb. A repeat of Day 4, but used in a new context, so I will replace with a new word: **fritrum**. I made a mistake in the thought process and should re-do this. I will keep it as an action to correct for the next set.",['fʌˈhanlə'],
**fritrum**,spare room,We converted the spare room into a small home gym.,Vi lavede fritrummet om til et lille hjemmegymnastik.,5,Compound noun: 'fri' (free) + 'rum' (room). Used for a spare or unoccupied space.,['ˈfʁiːˌʁɔm'],
troskab,fidelity/loyalty,I feel a sense of loyalty to the traditional blues form.,Jeg føler en form for troskab over for den traditionelle bluesform.,5,Noun. 'Tros' (faith/belief) + 'skab' (state/condition).,['ˈtʁoˀsˌɡæˀb'],
næringsrig,nutrient-rich,Liver is one of the most nutrient-rich foods for a carnivore.,Lever er en af de mest næringsrige fødevarer for en kødæder.,5,Compound adjective: 'næring' (nourishment) + 'rig' (rich).,['ˈnæˀʁɪŋsˌʁi'],
